auhor and year	concavity	taxonomic_domain	specific_taxa_andor_ecosystem	source of data in the paper	organization_level	scale_with	Generic variable	specific_variable	units		taxonomic_group	comments
Battestin and Macedo2007	tent	unicel euk	Fungi; Paecilomyces variotii	Fig. 3 purified tannase	molecular	concentration	activity	relative activity %	dimensionless		euk	other curves not included
Chen et al. 2019	tent	archaea		fig3a	molecular	concentration	activity				prok	
Deb et al. 2013	tent	bacteria		Fig6	molecular	concentration	activity		u/ml		euk	other curves not included
felleretal,1992-aha	tent	bacteria	a-Amylase from the Psychrotroph haloplanctis	Fig6 aha	molecular	concentration	activity	kcat	1/s		euk	
felleretal,1992-baa_t	tent	bacteria	a-Amylase from the Psychrotroph haloplanctis	Fig6 baa	molecular	concentration	activity	kcat	1/s		euk	other curves not included
Han et al 2008	tent	endotherm	homo sapiens		molecular	concentration	activity		KAT (kynurenine aminotransferase) II (Umol/min×*mg)		prok	
Mullaney et al. 2012_C31G_t	tent	unicel euk	Fungi	f3-C31G	molecular	concentration	activity				euk	
Mullaney et al. 2012_C31GC40G_t	tent	unicel euk	Fungi	f3-C31GC40G	molecular	concentration	activity				prok	
Mullaney et al. 2012_C31GC40S_t	tent	unicel euk	Fungi	f3-C31GC40S	molecular	concentration	activity				prok	
Mullaney et al. 2012_C40G_t	tent	unicel euk	Fungi	f3-C40G	molecular	concentration	activity				prok	
Mullaney et al. 2012_WT_t	tent	unicel euk	Fungi	f3-WT	molecular	concentration	activity				euk	
Scholtissek&Rott1969_fig3	tent	virus		enzyme rate	molecular	concentration	activity	enzyme rate			euk	
Thomas and Caviccioli 2000	tent	archaea	M. thermophila EF-2	fig4a	molecular	concentration	activity		Specific activity GTP; 1/min		euk	
Yadav et al. 2011	tent	ectotherm		fig4	molecular	concentration	activity				prok	
Yang and Wu 2006	tent	unicel euk	Fungi		molecular	concentration	activity	Relative rate	dimensionless		euk	
zhengetal2012_Adsorption-crosslinking-inmobilized-sterease_T	tent	endotherm	chicken	Adsorption-crosslinking-inmobilized-sterease	molecular	concentration	activity				euk	
zhengetal2012_Adsorption-inmobilized-sterease_T	tent	endotherm	chicken	Adsorption-inmobilized-sterease	molecular	concentration	activity				euk	PH 3
zhengetal2012_Adsorption-microcapsule-inmobilized-sterease_T	tent	endotherm	chicken	Adsorption-microcapsule-inmobilized-sterease	molecular	concentration	activity				euk	
zhengetal2012_free-sterease_t	tent	endotherm	chicken	free-sterease	molecular	concentration	activity				euk	
giordano2005-fig3a-blackcircles	u	archaea	Sulfolobus solfataricus		molecular		activity_u	Hill coefficient			euk	
giordano2005-fig4blackcircles	u	archaea	Sulfolobus solfataricus		molecular		activity_u	Hill coefficient			euk	
whittington2012-fig4a	u	ectotherm	teleost		molecular		activity_u	disociation constant			euk	
yamasaki_fig6d-15C-whitecircles	u	ectotherm	plant_wheat_Triticum aestivum		molecular		activity_u	fluorescent decay			prok	
yamasaki_fig6d-25C-blackcircles	u	ectotherm	plant_wheat_Triticum aestivum		molecular		activity_u	fluorescent decay			prok	
yamasaki_fig6d-35C-triangles	u	ectotherm	plant_wheat_Triticum aestivum		molecular		activity_u	fluorescent decay			prok	
